seed,type,N,T,ρ_estimate,ρ_start,ρ_lower,ρ_upper,σₐ²_estimate,σₐ²_start,σₐ²_lower,σₐ²_upper,σᵤ²_estimate,σᵤ²_start,σᵤ²_lower,σᵤ²_upper,iterations,LL,V_norm_finalstep,V_norm_true,V,b₀₁,b₀₂,b₀₃,b₀₄,β₁,β₂,runtime,notes,
simulated data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,1137901.019,770761.36,1093523.106,1079359.144,-45170.055,1187.637,2022-10-09 19:39:03,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).,
simulated data,Estimated,4,60,0.8785,0.8785,0.878,0.879,31381081744.9,36307805477.0101,0.0001,Inf,31977195587.378,36307805477.0101,0.0001,Inf,25,-3075,0,,,641822.604,274682.945,597444.691,583280.729,-6729.296,609.25,2022-10-09 19:48:02,Estimated parameters after convergence of the iterative method,
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.,
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,249115.967,-110919.366,312489.7,282327.75,32574.75,-108.555,2022-10-09 22:31:37,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).,
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,31622776601.684,31622776601.6837,0.0001,Inf,31622776601.684,31622776601.6837,0.0001,Inf,2,-3091,0,,,314643.98,-45391.354,378017.713,347855.763,26517.938,-6.618,2022-10-09 22:31:43,Estimated parameters after convergence of the iterative method,
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.,
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,0.249,-0.111,0.312,0.282,0.033,0,2022-10-09 22:37:11,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).,
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,31622776601.684,31622776601.6837,0.0001,Inf,31622776601.684,31622776601.6837,0.0001,Inf,2,-2954,0,,,0.315,-0.045,0.378,0.348,0.027,0,2022-10-09 22:37:15,Estimated parameters after convergence of the iterative method,
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.,
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,2022-10-09 22:41:42,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).,
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0,1,0.0001,Inf,3.629,1,0.0001,Inf,3,-291,0,,,3.146,-0.454,3.78,3.479,0.265,0,2022-10-09 22:45:22,Estimated parameters after convergence of the iterative method,
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.,
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-10-09 22:53:10,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0,1,0,Inf,3.629,1,0,Inf,3,-291,0,,,3.146,-0.454,3.78,3.479,0.265,0,,2022-10-09 22:55:57,Estimated parameters after convergence of the iterative method
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-10-09 22:55:57,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0,1,0,Inf,3.629,1,0,Inf,3,-291,0,,,3.146,-0.454,3.78,3.479,0.265,0,,2022-10-09 22:58:41,Estimated parameters after convergence of the iterative method
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-10-09 23:05:10,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0,1,0,Inf,3.6288344,1,0,Inf,3,-291,0,,,3.146,-0.454,3.78,3.479,0.265,0,,2022-10-09 23:18:58,Estimated parameters after convergence of the iterative method
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-10-09 23:48:08,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0,1,0,Inf,3.6288344,1,0,Inf,3,-291,0,,,3.146,-0.454,3.78,3.479,0.265,0,,2022-10-09 23:51:18,Estimated parameters after convergence of the iterative method
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-10-10 00:05:50,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0,0,0,Inf,3.6288344,3.6288,0,Inf,3,-291,0,,,3.146,-0.454,3.78,3.479,0.265,0,,2022-10-10 00:10:38,Estimated parameters after convergence of the iterative method
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-10-10 00:19:30,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0,0,0,Inf,3.6288344,3.6288,0,Inf,2,-291,0,,,3.146,-0.454,3.78,3.479,0.265,0,,2022-10-10 00:19:48,Estimated parameters after convergence of the iterative method
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 14:51:09,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0,0,0,Inf,3.6288344,3.6288,0,Inf,2,-291,0,,,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 14:51:49,Estimated parameters after convergence of the iterative method
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
simulated data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.054,-1.575,2.951,2.513,0.294,-0.002,,2022-12-15 15:20:49,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
simulated data,Estimated,4,60,0.8785,0.8785,0.878,0.879,2.2568065,3.6288,0.0001,Inf,3.3751489,3.6288,0.0001,Inf,19,-311,0,,,6.638,3.008,7.535,7.096,-0.059,0.003,,2022-12-15 15:23:50,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
simulated data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.054,-1.575,2.951,2.513,0.294,-0.002,,2022-12-15 15:23:51,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
simulated data,Estimated,4,60,0.8785,0.8785,0.05,0.99,2.2568065,3.6288,0.0001,Inf,3.3751489,3.6288,0.0001,Inf,19,-311,0,,,6.638,3.008,7.535,7.096,-0.059,0.003,,2022-12-15 15:26:47,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
simulated data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.054,-1.575,2.951,2.513,0.294,-0.002,,2022-12-15 16:12:02,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
simulated data,Estimated,4,60,0.06,0.06,0.878,0.879,6.2378047,3.6288,0.0001,Inf,3.3751486,3.6288,0.0001,Inf,35,-330,0,,,2.131,-1.498,3.028,2.59,0.289,-0.002,,2022-12-15 16:17:05,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
simulated data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.054,-1.575,2.951,2.513,0.294,-0.002,,2022-12-15 16:17:05,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
simulated data,Estimated,4,60,0.06,0.06,0.05,0.99,6.2378047,3.6288,0.0001,Inf,3.3751486,3.6288,0.0001,Inf,35,-330,0,,,2.131,-1.498,3.028,2.59,0.289,-0.002,,2022-12-15 16:22:42,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
simulated data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.054,-1.575,2.951,2.513,0.294,-0.002,,2022-12-15 17:50:34,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
simulated data,Estimated,4,60,0.8785,0.8785,0.878,0.879,2.2568065,3.6288,0.0001,Inf,3.3751489,3.6288,0.0001,Inf,19,-311,0,,,6.638,3.008,7.535,7.096,-0.059,0.003,,2022-12-15 17:53:33,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
simulated data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 18:22:47,b₀ᵢ and β used to generate simulated data
simulated data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.054,-1.575,2.951,2.513,0.294,-0.002,,2022-12-15 18:22:49,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
simulated data,Estimated,4,60,0.8785,0.8785,0.878,0.879,2.2568065,3.6288,0.0001,Inf,3.3751489,3.6288,0.0001,Inf,19,-311,0,,,6.638,3.008,7.535,7.096,-0.059,0.003,,2022-12-15 18:25:51,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 19:00:01,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,7540.0450251,0.01,0.0,Inf,4.3039910169057e6,0.01,0.0,Inf,500,-1849.0,4.182,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 20:01:17,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 20:01:17,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,158.8958155,0.01,0.0,Inf,42266.3303972,0.1,0.0,Inf,500,-1295.0,3.838,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:02:09,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:02:09,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,0.01,0.0,Inf,1.0534904,1.0,0.0,Inf,3,-436.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:03:00,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:03:01,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,0.01,0.0,Inf,3.003784,3.0,0.0,Inf,3,-293.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:03:50,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:03:50,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,0.01,0.0,Inf,5.9931858,6.0,0.0,Inf,3,-304.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:04:35,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:04:35,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,0.01,0.0,Inf,9.9891262,10.0,0.0,Inf,3,-336.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:05:18,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:05:18,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,0.01,0.0,Inf,24.9855566,25.0,0.0,Inf,3,-420.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:06:02,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:06:02,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,0.01,0.0,Inf,49.9843841,50.0,0.0,Inf,3,-494.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:06:47,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:06:47,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,0.01,0.0,Inf,99.983801,100.0,0.0,Inf,3,-573.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:07:33,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:07:33,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,0.01,0.0,Inf,999.9832777,1000.0,0.0,Inf,3,-846.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:08:19,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:08:19,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,0.1,0.0,Inf,429.968612,0.01,0.0,Inf,4,-745.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:09:22,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:09:22,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,0.1,0.0,Inf,4.2902356,0.1,0.0,Inf,5,-293.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:10:35,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:10:35,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
